Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type,Cost,Rarity,Price,Image URL,Last Updated
1,0,+2 Mace,Adventures in the Forgotten Realms,1,Near Mint,English,,,,,,,,$0.00,Artifact - Equipment,{1}{W},Common,$0.01,https://s.deckbox.org/system/images/mtg/cards/2020539.jpg,2021-09-18 15:31:20 UTC
1,0,Abnormal Endurance,Core Set 2019,85,Near Mint,English,,,,,,,,$0.00,Instant,{1}{B},Common,$0.12,https://s.deckbox.org/system/images/mtg/cards/447221.jpg,2020-07-19 10:02:23 UTC
1,0,Abomination of Gudul,Khans of Tarkir,159,Near Mint,English,,,,,,,,$0.00,Creature - Horror,{3}{B}{G}{U},Common,$0.08,https://s.deckbox.org/system/images/mtg/cards/386463.jpg,2021-05-01 14:29:57 UTC
1,0,Abomination of Llanowar,Commander Legends,265,Near Mint,English,,,,,,,,$0.00,Legendary Creature - Elf Horror,{1}{B}{G},Uncommon,$0.08,https://s.deckbox.org/system/images/mtg/cards/2015971.jpg,2020-12-13 13:20:42 UTC
1,0,Abstruse Interference,Oath of the Gatewatch,40,Near Mint,English,,,,,,,,$0.00,Instant,{2}{U},Common,$0.07,https://s.deckbox.org/system/images/mtg/cards/407550.jpg,2021-05-01 17:14:33 UTC
1,0,Abundant Maw,Eldritch Moon,1,Near Mint,English,,,,,,,,$0.00,Creature - Eldrazi Leech,{8},Uncommon,$0.09,https://s.deckbox.org/system/images/mtg/cards/414290.jpg,2021-05-02 03:32:16 UTC
2,0,Abzan Guide,Khans of Tarkir,162,Near Mint,English,,,,,,,,$0.00,Creature - Human Warrior,{3}{W}{B}{G},Common,$0.08,https://s.deckbox.org/system/images/mtg/cards/386469.jpg,2021-05-01 14:30:09 UTC
1,0,Abzan Runemark,Fate Reforged,3,Near Mint,English,,,,,,,,$0.00,Enchantment - Aura,{2}{W},Common,$0.08,https://s.deckbox.org/system/images/mtg/cards/391784.jpg,2021-05-01 14:33:34 UTC
1,0,Academy Drake,Dominaria,40,Near Mint,English,,,,,,,,$0.00,Creature - Drake,{2}{U},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/442928.jpg,2020-07-19 13:33:41 UTC
2,0,Accursed Spirit,Magic 2015 Core Set,85,Near Mint,English,,,,,,,,$0.00,Creature - Spirit,{3}{B},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/383175.jpg,2021-05-01 14:04:33 UTC
1,0,Act of Treason,Gatecrash,85,Near Mint,English,,,,,,,,$0.00,Sorcery,{2}{R},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/366305.jpg,2021-05-01 13:26:41 UTC
1,0,Act of Treason,Khans of Tarkir,95,Near Mint,English,,,,,,,,$0.00,Sorcery,{2}{R},Common,$0.06,https://s.deckbox.org/system/images/mtg/cards/386470.jpg,2021-05-01 14:25:57 UTC
3,0,Act of Treason,Magic Origins,129,Near Mint,English,,,,,,,,$0.00,Sorcery,{2}{R},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/398578.jpg,2021-05-01 16:54:58 UTC
3,0,Act of Treason,Core Set 2019,127,Near Mint,English,,,,,,,,$0.00,Sorcery,{2}{R},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/447263.jpg,2020-07-19 09:59:26 UTC
1,0,Act of Treason,Ravnica Allegiance,91,Near Mint,English,,,,,,,,$0.00,Sorcery,{2}{R},Common,$0.06,https://s.deckbox.org/system/images/mtg/cards/457235.jpg,2021-05-01 13:26:41 UTC
2,0,Act of Treason,Core Set 2020,124,Near Mint,English,,,,,,,,$0.00,Sorcery,{2}{R},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/466878.jpg,2020-07-19 10:40:32 UTC
1,0,Adaptive Shimmerer,Ikoria: Lair of Behemoths,1,Near Mint,English,,,,,,,,$0.00,Creature - Insect,{5},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/2011522.jpg,2020-07-23 12:46:20 UTC
1,0,Adaptive Shimmerer,Ikoria: Lair of Behemoths,1,Near Mint,English,foil,,,,,,,$0.00,Creature - Insect,{5},Common,$0.06,https://s.deckbox.org/system/images/mtg/cards/2011522.jpg,2020-07-20 01:01:37 UTC
1,0,"Adeliz, the Cinder Wind",Dominaria,190,Near Mint,English,,,,,,,,$0.00,Legendary Creature - Human Wizard,{1}{U}{R},Uncommon,$0.16,https://s.deckbox.org/system/images/mtg/cards/443078.jpg,2020-07-19 13:17:56 UTC
1,0,Advance Scout,Tempest,213,Near Mint,English,,,,,,,,$0.00,Creature - Human Soldier Scout,{1}{W},Common,$0.08,https://s.deckbox.org/system/images/mtg/cards/4857.jpg,2021-01-14 16:24:15 UTC
1,0,Adventure Awaits,Zendikar Rising,177,Near Mint,English,,,,,,,,$0.00,Sorcery,{1}{G},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/2014720.jpg,2020-10-09 16:01:48 UTC
1,0,Adventurous Impulse,Strixhaven Mystical Archive,49,Near Mint,English,,,,,,,,$0.00,Sorcery,{G},Uncommon,$0.08,https://s.deckbox.org/system/images/mtg/cards/2018901.jpg,2021-10-22 07:34:57 UTC
1,0,Adventurous Impulse,Dominaria,153,Near Mint,English,,,,,,,,$0.00,Sorcery,{G},Common,$0.07,https://s.deckbox.org/system/images/mtg/cards/443041.jpg,2021-10-22 07:34:57 UTC
3,0,Aerial Volley,Magic Origins,168,Near Mint,English,,,,,,,,$0.00,Instant,{G},Common,$0.07,https://s.deckbox.org/system/images/mtg/cards/398565.jpg,2021-05-01 16:57:38 UTC
1,0,Aeromoeba,Modern Horizons 2,389,Near Mint,English,,,,,,,,$0.00,Creature - Elemental Beast,{3}{U},Common,$0.01,https://s.deckbox.org/system/images/mtg/cards/2019924.jpg,2021-12-17 07:32:16 UTC
1,0,Aesthir Glider,Dominaria,209,Near Mint,English,,,,,,,,$0.00,Artifact Creature - Bird Construct,{3},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/443097.jpg,2020-07-19 13:14:05 UTC
1,0,Aether Flash,Weatherlight,88,Near Mint,English,,,,,,,,$0.00,Enchantment,{2}{R}{R},Uncommon,$0.50,https://s.deckbox.org/system/images/mtg/cards/4534.jpg,2020-07-19 09:41:59 UTC
1,0,Aether Gust,Core Set 2020,42,Near Mint,English,,,,,,,,$0.00,Instant,{1}{U},Uncommon,$0.35,https://s.deckbox.org/system/images/mtg/cards/466796.jpg,2020-07-19 11:14:42 UTC
1,0,Aether Herder,Aether Revolt,102,Near Mint,English,,,,,,,,$0.00,Creature - Elf Artificer Druid,{3}{G},Common,$0.06,https://s.deckbox.org/system/images/mtg/cards/423769.jpg,2021-05-02 04:06:53 UTC
1,0,Aether Swooper,Aether Revolt,26,Near Mint,English,,,,,,,,$0.00,Creature - Vedalken Artificer,{1}{U},Common,$0.07,https://s.deckbox.org/system/images/mtg/cards/423693.jpg,2021-05-02 04:05:52 UTC
1,0,Aether Tradewinds,Kaladesh,38,Near Mint,English,,,,,,,,$0.00,Instant,{2}{U},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/417611.jpg,2020-07-19 08:49:13 UTC
1,0,Aether Tunnel,Core Set 2019,43,Near Mint,English,,,,,,,,$0.00,Enchantment - Aura,{1}{U},Uncommon,$0.22,https://s.deckbox.org/system/images/mtg/cards/447179.jpg,2020-07-19 10:08:19 UTC
1,0,Aethersphere Harvester,Aether Revolt,142,Near Mint,English,,,,,,,,$0.00,Artifact - Vehicle,{3},Rare,$0.30,https://s.deckbox.org/system/images/mtg/cards/423809.jpg,2020-07-19 08:47:52 UTC
1,0,Aetherstorm Roc,Kaladesh,3,Near Mint,English,,,,,,,,$0.00,Creature - Bird,{2}{W}{W},Rare,$0.12,https://s.deckbox.org/system/images/mtg/cards/417576.jpg,2020-07-19 08:49:30 UTC
2,0,Affa Protector,Oath of the Gatewatch,14,Near Mint,English,,,,,,,,$0.00,Creature - Human Soldier Ally,{2}{W},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/407524.jpg,2020-07-19 09:00:29 UTC
1,0,Agent of the Fates,Theros,76,Near Mint,English,,,,,,,,$0.00,Creature - Human Assassin,{1}{B}{B},Rare,$0.24,https://s.deckbox.org/system/images/mtg/cards/373543.jpg,2021-05-01 13:40:27 UTC
2,0,Aggressive Urge,Rivals of Ixalan,122,Near Mint,English,,,,,,,,$0.00,Instant,{1}{G},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/439779.jpg,2020-07-19 04:44:49 UTC
1,0,Agonizing Remorse,Strixhaven Mystical Archive,24,Near Mint,English,foil,,,,,,,$0.00,Sorcery,{1}{B},Uncommon,$0.13,https://s.deckbox.org/system/images/mtg/cards/2018876.jpg,2021-11-25 08:07:32 UTC
3,0,Agonizing Syphon,Core Set 2020,83,Near Mint,English,,,,,,,,$0.00,Sorcery,{3}{B},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/466837.jpg,2020-07-19 10:50:22 UTC
4,0,Ahn-Crop Invader,War of the Spark,113,Near Mint,English,,,,,,,,$0.00,Creature - Zombie Minotaur Warrior,{2}{R},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/461040.jpg,2021-05-02 05:10:52 UTC
1,0,Aid the Fallen,War of the Spark,76,Near Mint,English,,,,,,,,$0.00,Sorcery,{1}{B},Common,$0.08,https://s.deckbox.org/system/images/mtg/cards/461003.jpg,2021-05-02 05:10:26 UTC
1,0,Aim High,Battlebond,189,Near Mint,English,,,,,,,,$0.00,Instant,{1}{G},Uncommon,$0.09,https://s.deckbox.org/system/images/mtg/cards/446157.jpg,2020-07-19 04:19:23 UTC
1,0,Ainok Guide,Fate Reforged,121,Near Mint,English,,,,,,,,$0.00,Creature - Dog Scout,{1}{G},Common,$0.09,https://s.deckbox.org/system/images/mtg/cards/391786.jpg,2020-07-19 09:09:35 UTC
1,0,Air Elemental,Ixalan,45,Near Mint,English,,,,,,,,$0.00,Creature - Elemental,{3}{U}{U},Uncommon,$0.06,https://s.deckbox.org/system/images/mtg/cards/435197.jpg,2021-05-02 04:20:05 UTC
1,0,Ajani's Chosen,Magic 2014 Core Set,2,Near Mint,English,,,,,,,,$0.00,Creature - Cat Soldier,{2}{W}{W},Rare,$0.45,https://s.deckbox.org/system/images/mtg/cards/370750.jpg,2020-07-19 09:25:39 UTC
1,0,Akki Avalanchers,Champions of Kamigawa,151,Near Mint,English,,,,,,,,$0.00,Creature - Goblin Warrior,{R},Common,$0.11,https://s.deckbox.org/system/images/mtg/cards/75277.jpg,2021-01-14 17:55:16 UTC
1,0,Akoum Hellhound,Zendikar Rising,299,Near Mint,English,,,,,,,,$0.00,Creature - Elemental Dog,{R},Common,$0.01,https://s.deckbox.org/system/images/mtg/cards/2014860.jpg,2021-11-25 07:26:14 UTC
2,0,Akroan Sergeant,Magic Origins,130,Near Mint,English,,,,,,,,$0.00,Creature - Human Soldier,{2}{R},Common,$0.05,https://s.deckbox.org/system/images/mtg/cards/398604.jpg,2021-05-01 16:55:21 UTC
