Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,Type,Cost,Rarity,Price,Image URL,Last Updated
1,Adventurous Impulse,Strixhaven Mystical Archive,112,,,,,,,,,,Sorcery,{G},Uncommon,$0.23,https://s.deckbox.org/system/images/mtg/cards/2018964.jpg,2021-11-07 11:36:31 UTC
1,"Alrund, God of the Cosmos // Hakka, Whispering Raven",Kaldheim,302,,,,,,,,,,Legendary Creature - God // Legendary Creature - Bird,{3}{U}{U} // {1}{U},MythicRare,$0.65,https://s.deckbox.org/system/images/mtg/cards/2017110.jpg,2021-11-07 11:11:46 UTC
1,Alrund's Epiphany,Kaldheim,295,,,,,,,,,,Sorcery,{5}{U}{U},MythicRare,$2.67,https://s.deckbox.org/system/images/mtg/cards/2017101.jpg,2021-11-07 13:49:43 UTC
1,Ardenvale Tactician // Dizzying Swoop,Throne of Eldraine,273,,,,,,,,,,Creature - Human Knight // Instant - Adventure,{1}{W}{W} // {1}{W},Common,$0.34,https://s.deckbox.org/system/images/mtg/cards/2005513.jpg,2021-11-07 13:11:40 UTC
1,Boneyard Lurker,Ikoria: Lair of Behemoths,298,,,,,,,,,,Creature - Nightmare Beast,{2}{B}{G},Uncommon,$0.19,https://s.deckbox.org/system/images/mtg/cards/2011819.jpg,2021-11-07 13:07:25 UTC
1,Brainstorm,Strixhaven Mystical Archive,13,,,,,,,,,,Instant,{U},Rare,$1.44,https://s.deckbox.org/system/images/mtg/cards/2018865.jpg,2021-11-07 11:18:30 UTC
1,"Brokkos, Apex of Forever",Ikoria: Lair of Behemoths,299,,,,,,,,,,Legendary Creature - Nightmare Beast Elemental,{2}{B}{G}{U},MythicRare,$1.11,https://s.deckbox.org/system/images/mtg/cards/2011820.jpg,2021-11-07 13:07:39 UTC
1,Claim the Firstborn,Strixhaven Mystical Archive,100,,,,,,,,,,Sorcery,{R},Uncommon,$0.43,https://s.deckbox.org/system/images/mtg/cards/2018952.jpg,2021-11-07 11:33:34 UTC
1,Cubwarden,Ikoria: Lair of Behemoths,279,,,,,,,,,,Creature - Cat,{3}{W},Rare,$0.32,https://s.deckbox.org/system/images/mtg/cards/2011800.jpg,2021-11-07 13:02:26 UTC
1,Cultivate,Strixhaven Mystical Archive,114,,,,,,,,,,Sorcery,{2}{G},Uncommon,$0.79,https://s.deckbox.org/system/images/mtg/cards/2018966.jpg,2021-11-07 11:37:34 UTC
